バスコード	会社名
04a5	嵐電
05d1	広電市内線
05e1	岡電(軌道)
0901	札幌市電
0905	JR北海道バス
0906	じょうてつ
0907	北海道中央バス
0a01	西鉄バス
0a02	西鉄バス北九州
0a03	西鉄高速バス
0a04	西鉄バス佐賀
0a05	西鉄バス久留米
0a06	西鉄バス筑豊
0a08	西鉄バス大牟田
0a09	西鉄バス宗像
0a0a	西鉄バス二日市
0a0b	日田バス
0a0d	昭和バス
0a0e	JR九州バス
0a0f	亀の井バス
0a10	大分バス
0a11	大分交通
0a12	熊本市電
0a1a	熊本電鉄
0c2a	京成バス
0c2b	小湊バス
0c2c	千葉交通
0c2d	船橋新京成バス
0c2e	習志野新京成バス
0c2f	松戸新京成バス
0c32	千葉中央バス
0c37	東京ベイシティ交通
0c39	千葉海浜交通
0c3a	千葉内陸バス
0c3b	ちばレインボーバス
0c3c	ちばフラワーバス
0c3d	ちばグリーンバス
0c3e	ちばシティバス
0c42	平和交通
0c43	あすか交通
0c44	京成トランジットバス
0c4a	都電/都バス
0c4b	東急バス
0c4c	京王バス
0c4d	関東バス
0c4e	西武バス
0c4f	国際興業バス
0c50	小田急バス
0c51	東武バス
0c52	立川バス
0c53	西東京バス
0c57	フジエクスプレス
0c58	東京空港交通
0c5a	小田急箱根高速バス
0c5b	JRバス関東
0c5c	日立自動車交通
0c62	多摩バス
0c65	京成タウンバス
0c69	京急バス
0c6a	横浜市営バス
0c6b	神奈中バス
0c6c	川崎鶴見臨港バス
0c6d	箱根登山バス
0c6e	伊豆箱根バス
0c6f	江ノ電バス横浜
0c70	川崎市バス
0c71	相鉄バス(浜/旭)
0c72	富士急湘南バス
0c74	江ノ電バス藤沢
0c7c	相鉄バス(綾)
0c7e	山梨交通
0c80	富士急バス
0c81	富士急山梨バス
0c82	富士急平和観光バス
0c83	富士急シティバス
0c84	富士急静岡バス
0c85	東急世田谷線
0c89	京成バスシステム
0d18	静鉄バス
0d29	名鉄バス
0d2a	名古屋市営バス
0d2b	豊鉄市内線
0d2e	名古屋ガイドウェイバス
0d47	新潟交通
0e14	南海バス
0e16	京阪バス
0e1f	大阪シティバス
0e20	高槻市営バス
0e22	阪急バス
0e23	水鉄バス
0e29	大阪空港バス
0e31	阪神バス
0e33	神姫バス
0e38	神戸市バス
0e3b	伊丹市営バス
0e3d	山陽バス
0e51	奈良交通
0f00	日ノ丸バス
0f01	日交バス
0f03	一畑バス
0f04	石見交通
0f05	松江市営バス
0f0a	中鉄バス
0f0b	宇野バス
0f0c	両備バス
0f0d	備北バス
0f0f	岡電バス
0f10	下電バス
0f13	衣笠バス
0f14	広電バス
0f15	広島バス
0f16	広交バス
0f17	広交観光
0f18	芸陽バス
0f19	中国バス
0f1a	トモテツバス
0f1b	備北交通
0f1c	因の島バス
0f1d	本四バス
0f1e	さんようバス
0f1f	中国JRバス
0f21	おのみちバス
0f24	Bon-Bus
0f25	瀬戸内産交バス
0f27	フォーブル
0f47	ことでんバス
0fc8	宮島松大汽船
0fc9	瀬戸内海汽船
0fca	宮島ロープウエー
0fcb	JR西日本宮島フェリー